title,creation_date,medium,accession_number,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,provenance_text,classification,party_type,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Zig-Zag chair,  1938,deal and hardware,2008.44,Gift of Mary Jo and James Winokur,6/5/08,Decorative Arts and Design,"Gallery 9, Scaife Galleries",14.875,29.875,16.5,0,,Wood,Person,"Rietveld, Gerrit Thomas",,Dutch,1888-01-01,1/1/64,Utrecht,Utrecht
Teapot,  1835,coin silver,2008.41.1,Gift of Jean H. McCullough,6/5/08,Decorative Arts and Design,"Gallery 3, Scaife Galleries",12.75,10.25,5.875,0,,containers,Person,"Bogert, Nicholas J.",,American,1776-01-01,1843-01-01,,
Creamer,  1835,coin silver,2008.41.2,Gift of Jean H. McCullough,6/5/08,Decorative Arts and Design,"Gallery 3, Scaife Galleries",7.125,6.687,3.75,0,,containers,Person,"Bogert, Nicholas J.",,American,1776-01-01,1843-01-01,,
Sugar bowl,  1835,coin silver,2008.41.3.A-.B,Gift of Jean H. McCullough,6/5/08,Decorative Arts and Design,"Gallery 3, Scaife Galleries",9,9.375,5.125,0,,containers,Person,"Bogert, Nicholas J.",,American,1776-01-01,1843-01-01,,
Vase,  1890,earthenware with enamel decoration,2008.54.A-.B,"Decorative Arts Purchase Fund and Gift of Charlotte and Stanley Bernstein, Jr., by exchange",10/2/08,Decorative Arts and Design,Hall of Sculpture Balcony,9.5,16.25,7.5,0,,Ceramics,Person|Person,"De Morgan, William|Passenger, Fred",designer|decorator,British,1839-01-01|,1917-01-01|1905-01-01,|,|
Blue/Lemon Sliced Descending Form,1989,glass,2008.70.5.A-.B,Bequest of Maxine H. Block,10/2/08,Decorative Arts and Design,"Gallery 21, Bruce Galleries",12.5,13.25,7,0,Purchased from the Littleton Gallery DC 1/8/90,sculpture,Person,"Littleton, Harvey K.",,American,1/1/22,1/1/13,,
Oval-shaped vase,2000,white stoneware,2008.72.3,Gift of John and Robyn Horn,10/2/08,Decorative Arts and Design,Hall of Sculpture Balcony,10,9.25,4.25,0,,Ceramics,Person,"Yost, Karl",,American,,,,
Will I See You Again,2003,ash with acrylic paint,2008.72.5,Gift of John and Robyn Horn,10/2/08,Decorative Arts and Design,"Gallery 21, Bruce Galleries",6,10.75,5.5,0,,Wood,Person,"Pho, Binh",,American,1/1/55,,"Saigon, Vietnam",
The UN-NESS of ONE-NESS,2007,"fiberglass, clear casting resin, and blades of grass",2008.56.A-.B,The Henry L. Hillman Fund,10/2/08,Contemporary Art,"Gallery 16, Scaife Galleries",11,8.25,10.75,0,The artist through Anton Kern Gallery,sculpture,Person,"Hughes, Richard",,British,1/1/74,,"Birmingham, England",
Made In China,2008,porcelain with slip decoration and overglaze enamel decals,2008.58,"Gift of Charlotte and Stanley Bernstein, Jr., by exchange",10/2/08,Decorative Arts and Design,"Gallery 21, Bruce Galleries",8,15,8,0,,Ceramics,Person,"Erickson, Michelle",,American,1/1/60,,,
Henri IV as a child,1822-1845,"bronze, on polychrome wood (walnut) base",2008.33.A-.B,Heinz Family Acquisition Fund,6/5/08,Fine Arts,"Gallery 4, Scaife Galleries",0,0,0,0,"Paris Salon of 1843, no. 1394; purchased at the Salon by Prince Anatole Demidoff for his residence Villa San Donato, Florence, until 1870; Demidoff sale, Paris, 21 April 1870, no. 1538; purchased at the sale by Comte Juste de Tournon; by descent until c 2008.",sculpture,Person|Person,"Bosio, François-Joseph|Fauveau, Félicie de",|,French,1768-01-01|1799-01-01,1845-01-01|1886-01-01,Monaco (Europe)|Florence,"Paris (Ville de Paris department, Île-de-France, France)|"
"Pinkerton Riot, Pittsburgh",1948,oil on canvas,2008.74.1,Gift of Daniel McFadden and Beverlee Tito Simboli McFadden,10/2/08,Fine Arts,"Gallery 11, Scaife Galleries",34.75,29.5,1,0,"Raymond Simboli [1894-1964]; by descent to Beverlee Simboli, Berkeley, CA, until 2008. Gift to Museum, 2008.",paintings,Person,"Simboli, Raymond",,American,1894-01-01,1/1/64,"Pescina (L'Aquila province, Abruzzi, Italy)","Neenah (Winnebago county, Wisconsin, United States)"
"Allegheny-Ludlum Steel Mill, Pittsburgh",1948,oil on canvas,2008.74.4,Gift of Daniel McFadden and Beverlee Tito Simboli McFadden,10/2/08,Fine Arts,"Gallery 11, Scaife Galleries",61.75,42.25,0.5,0,"Raymond Simboli [1894-1964]. By descent to Daniel McFadden and Beverlee Tito Simboli McFadden, Berkeley, CA, until 2008 [1]. Gift to Museum, 2008. 
NOTES:1. Beverlee Simboli is the daughter of the artist",paintings,Person,"Simboli, Raymond",,American,1894-01-01,1/1/64,"Pescina (L'Aquila province, Abruzzi, Italy)","Neenah (Winnebago county, Wisconsin, United States)"
"Pinkerton Riot, Pittsburgh",  1935-1940,oil on canvas,2008.74.6,Gift of Daniel McFadden and Beverlee Tito Simboli McFadden,10/2/08,Fine Arts,"Gallery 11, Scaife Galleries",39.5,36,1.5,0,The artist; inherited by Beverlee Simboli,paintings,Person,"Simboli, Raymond",,American,1894-01-01,1/1/64,"Pescina (L'Aquila province, Abruzzi, Italy)","Neenah (Winnebago county, Wisconsin, United States)"
Rubbish Collector 2,  1945-1950,oil on canvas,2008.74.7,Gift of Daniel McFadden and Beverlee Tito Simboli McFadden,10/2/08,Fine Arts,"Gallery 21, Bruce Galleries",39.5,36,0,0,"Raymond Simboli [1894-1964]. By descent to Daniel McFadden and Beverlee Tito Simboli McFadden, Berkeley, CA, until 2008 [1]. Gift to Museum, 2008. 
NOTES:1. Beverlee Simboli is the daughter of the artist",paintings,Person,"Simboli, Raymond",,American,1894-01-01,1/1/64,"Pescina (L'Aquila province, Abruzzi, Italy)","Neenah (Winnebago county, Wisconsin, United States)"
DF 2000 Sideboard,  1968,"ABS plastic, painted aluminum, and fiberboard",2008.73.1,Gift of Dr. Richard L. Simmons,10/2/08,Decorative Arts and Design,"Gallery 21, Bruce Galleries",78.5,35.5,22,0,,furniture,Person|Organization|Organization,"Loewy, Raymond|Compagnie de l'Esthétique Industrielle|Doubinski Frères",designer|design firm|manufacturer,American|French|French,1893-01-01|1952-01-01|,1986-01-01|1977-01-01|1967-01-01,France||,Monaco||
ERO|S| Chair,2001,polycarbonate and aluminum,2008.73.2,Gift of Dr. Richard L. Simmons,10/2/08,Decorative Arts and Design,"Gallery 18, Bruce Galleries",24.5,31.5,27.5,0,,furniture,Person|Organization,"Starck, Philippe|Kartell S.p.A.",designer|manufacturer,French|Italian,1949-01-01|1949-01-01,|,Paris|,|
Coupe,  1867,agate with gilded and enameled brass,2008.76,"Women's Committee Acquisition Fund, Gift of Baroness Cassel Van Doorn, by exchange, and Ailsa Mellon Bruce Fund",12/4/08,Decorative Arts and Design,"Gallery 6, Scaife Galleries",7.25,5,4.75,0,"Charles Duron [1814-1872], Paris; Alfred Morrison [1821-1897], after 1867; by descent to Lord Margadale, his grandson; (sold at Christie's, London, November 30, 1971, lot 104); purchased by Gorevic. (Hotel Drouot, Paris, on November 9, 1975, lot 63) [1]. (Bonhamns and Butterfields, Los Angeles, September 10, 2007) [2]; (H. Blairman & Sons [1884-], London); purchased by Museum, December 2008. 
NOTES:1. Listed as Austrian. 2. Sold again as Austrian.",containers,Person,"Duron, Charles",,French,1814-01-01,1872-01-01,,
Vase,1903-1904,earthenware,2008.82,Harlan E. Youel Bequest Fund,12/4/08,Decorative Arts and Design,"Gallery 20, Bruce Galleries",5.375,11.25,5.125,0,,Ceramics,Person|Person,"Velde, Henry van de|Eberstein, Franz",designer|manufacturer,Belgian|German,1863-01-01|,1957-01-01|,"Antwerp, Belgium|","Zurich, Switzerland|"
Miniature chest of drawers,  1798,"plum-pudding mahogany, brass, and mirrored glass",2008.8,Ailsa Mellon Bruce Fund,12/4/08,Decorative Arts and Design,"Gallery 19, Bruce Galleries",10.5,16,13.5,0,,Wood,Person,"Bruns, Jean-Antoine",,French,,1824-01-01,,
Tirol settle,  1904,stained poplar,2008.77.1,Berdan Memorial Trust Fund,12/4/08,Decorative Arts and Design,"Gallery 20, Bruce Galleries",68,68,26,0,,Wood,Person|Organization,"Dawson-Watson, Dawson|Byrdcliffe Arts and Crafts Colony",designer|maker,American,1864-01-01|1902-01-01,1939-01-01|1910-01-01,|,|
Untitled Bowl,1984,Norfolk Island pine,2008.97,Gift of Daniel Greenberg and Susan Steinhauser,2/5/09,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,7.5,0,14,,Wood,Person,"Kent, Ron",,American,1/1/31,,,
Coco Echoes,2005,cocobolo,2008.98,Gift of Daniel Greenberg and Susan Steinhauser,2/5/09,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,7,0,11,,Wood,Person,"Hunter, William",,American,1/1/47,,,
8/17/08,2008,coolabah burl,2008.92,Gift of Deena and Jerome Kaplan,2/5/09,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,2.75,0,19,,Wood,Person,"Fein, Harvey",,American,1/1/40,,,
Argand lamp,  1835,"brass, iron, and glass",2009.3.1.A-.F,Ailsa Mellon Bruce Fund,2/5/09,Decorative Arts and Design,"Gallery 20, Bruce Galleries",16,20.5,9,0,,lighting devices,Organization,Cornelius & Son,attributed to,American,1831-01-01,1839-01-01,,
Argand lamp,  1835,"brass, iron, and glass",2009.3.2.A-.F,Ailsa Mellon Bruce Fund,2/5/09,Decorative Arts and Design,"Gallery 20, Bruce Galleries",16,20.5,9,0,,lighting devices,Organization,Cornelius & Son,attributed to,American,1831-01-01,1839-01-01,,
Pitcher,1899-1904,earthenware with luster glaze decoration,2009.25,"Gift of William S. Huff, in memory of G.A. Steiner",4/2/09,Decorative Arts and Design,Hall of Sculpture Balcony,0,10.75,0,4.625,"G. A. Steiner, grandfather of William S. Huff, Pittsburgh, Pennsylvania.
William S. Huff, Pittsburgh, Pennsylvania, acquired from the G. A. Steiner estate in 1989. 
Gift of William S. Huff, Pittsburgh, PA, 2009.",Ceramics,Organization,Zsolnay Manufactory,,Hungarian,1853-01-01,,,
Tumbler with sulphide portrait of Andrew Jackson,  1825,glass with sulphide,2010.14,Gift of Harley Niles Trice in honor of James Bryce,2/4/10,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,3.375,0,3,,Glass,Organization,"Bakewell, Page and Bakewell",manufacturer,American,1813-01-01,1827-01-01,,
Pierced sugar-sifting spoon,  1875,aluminum bronze,2008.86.6,"Purchased with contributions from Carnegie Museums of Pittsburgh visit to Paris, September 2008",12/4/08,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,7.75,0,0,,tools and equipment,Organization,"Morin, Paul, et Cie",manufacturer,French,1857-01-01,1885-01-01,,
Plaque,1843-1848,earthenware with transfer-printed decoration,2009.17,Martin Walsh Antiques Fund,4/2/09,Decorative Arts and Design,"Gallery 20, Bruce Galleries",11.063,12.625,1,0,,Ceramics,Organization,William Davenport & Company,,English,1835-01-01,1869-01-01,,
Sideboard,  1855,American black walnut and tulip poplar,2009.32,"John Berdan Memorial Trust; and the following, by exchange: Purchase: gift of Mrs. John Berdan; Bequest of Charles H. Carpenter, Jr. in honor of Phillip M. Johnston; Gift of Mrs. John J. Bissell; Gift of John Billings; Bequest and Gift of Ruth Crawford Mitchell; Gift of Mr. R. C. Ernst; Gift of Mrs. William C. Robinson, Jr. through the Women's Committee; Gift of Laura E. Wintersteen; Gift of Robert S. Waters; Gift of Ellen Kelson; Gift of David J. Carney; Gift of Lucille L. Wells; Gift of Mr. and Mrs. Daniel E. Wise; Gift of Mr. and Mrs. J. Blaine Griffith; Gift of Mr. and Mrs. Joseph Pond; Gift of William D. Pettit; Gift of Mr. and Mrs. Bruce W. Chilcoat; and Gift of Barbara Ackerman, James Berkman, Richard Berkman, Helen Habbert, and Susan Rahm",6/4/09,Decorative Arts and Design,"Gallery 3, Scaife Galleries",48.25,49.25,24,0,"Dr. Alexander Ruthven, Smiths Creek, MI, 2009",Wood,Person,"Roux, Alexander",attributed to,American,1813-01-01,1886-01-01,France,
Ziggy Stardust,2004,fluorescent lights and fixtures,2009.22,Gift of Milton and Sheila Fine,4/2/09,Contemporary Art,"Gallery 16, Scaife Galleries",59.063,101.188,0,0,"Gift of Milton and Sheila Fine, Pittsburgh, PA, 2009.",sculpture,Person,"Handforth, Mark",,American,1/1/69,,"Hong Kong, China",
Boppard Chair,1836-1840,beech with mahogany veneer and modern cane,2009.41,"Ailsa Mellon Bruce Fund, Richard L. Simmons Acquisition Fund, and prior gift of the Roy A. Hunt Foundation, and Mr. and Mrs. Aleon Deitch, by exchange",10/1/09,Decorative Arts and Design,"Gallery 18, Bruce Galleries",16.75,33.688,18.688,0,,Wood,Person,"Thonet, Michael",,Austrian,1796-01-01,1871-01-01,"Boppard, Germany",Vienna
Ladle,  1866,silver with gilded decoration,2009.55,Gift of Mr. and Mrs. Alexander C. Speyer III,10/1/09,Decorative Arts and Design,"Gallery 20, Bruce Galleries",3.25,11.625,4.25,0,,tools and equipment,Person|Organization,"Wilkinson, George|Gorham Manufacturing Company",attributed designer|manufacturer,British|American,1819-01-01|1831-01-01,1894-01-01|,"Birmingham (West Midlands, England, United Kingdom)|Providence, RI",|
A Twisted Wedgwoodn't Tureen,2009,plaster & gypsum material with non-fired ceramic coating,2009.33.A-B,Mary Murtland Wurts Fund,6/4/09,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,11.375,0,7.125,,Ceramics,Person,"Eden, Michael",,British,1/1/55,,,
Vessel,2005,red maple burl,2009.38,Gift of the artist,6/4/09,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,9.5,0,8,,Wood,Person,"Jordan, John",,American,1/1/50,,,
Grant Street,1995,hand-colored gelatin silver print,2009.40.1,Gift of the artist,6/4/09,Photography,Forum Gallery,15.938,19.875,0,0,,photographs,Person,"Abramson, Sue",,American,1/1/56,,,
Window pane from PicNic house,  1840,glass,2009.57,Gift of Harley Niles Trice in honor of the reopening of the Ailsa Mellon Bruce Galleries,10/1/09,Decorative Arts and Design,"Gallery 20, Bruce Galleries",5.875,7.875,0.75,0,,Glass,Organization|Organization,Bakewells & Anderson|Bakewells & Company,attributed to|attributed to,American,|1836-01-01,|1842-01-01,|,|
Mexico Vase,1971,glass,2009.54,Gift of Sarah Nichols in honor of Richard Armstrong,10/1/09,Decorative Arts and Design,Museum of Art Lobby,0,13.625,0,5.5,,Glass,Person|Organization,"Zuccheri, Toni|Venini & C.",|,Italian,1937-01-01|1929-01-01,2008-01-01|1985-01-01,|,|
Thebes stool,  1890,mahogany with period leather upholstery,2009.53,Gift of Sarah Nichols in honor of the reopening of the Ailsa Mellon Bruce Galleries,10/1/09,Decorative Arts and Design,"Gallery 18, Bruce Galleries",17.75,14,17.75,0,,furniture,Organization|Organization|Organization,Liberty and Company|William Birch Ltd.|B. North & Sons,designer|attributed manufacturer|attributed manufacturer,British,1875-01-01|1840-01-01|1851-01-01,|1953-01-01|,||,||
Bottle vase,1920-1938,porcelain with enamel decoration,2013.29,Gift of the Charny Family in loving memory of Peggy Charny,9/12/13,Decorative Arts and Design,"Gallery 19, Bruce Galleries",0,6.125,0,2.875,,Ceramics,Person,unknown Chinese,,Chinese,,,,
Luncheon knife (steel blade),  1875,aluminum bronze and steel,2008.86.1.3,"Purchased with contributions from Carnegie Museums of Pittsburgh visit to Paris, September 2008",12/4/08,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,0,0,0,,tools and equipment,Organization,"Morin, Paul, et Cie",,French,1857-01-01,1885-01-01,,
Luncheon fork,  1875,aluminum bronze,2008.86.3.5,"Purchased with contributions from Carnegie Museums of Pittsburgh visit to Paris, September 2008",12/4/08,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,0,0,0,,tools and equipment,Organization,"Morin, Paul, et Cie",,French,1857-01-01,1885-01-01,,
Luncheon spoon,  1875,aluminum bronze,2008.86.4.9,"Purchased with contributions from Carnegie Museums of Pittsburgh visit to Paris, September 2008",12/4/08,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,0,0,0,,tools and equipment,Organization,"Morin, Paul, et Cie",,French,1857-01-01,1885-01-01,,
Closed form,2000,glazed stoneware,2009.72,Gift of Perimeter Gallery Inc.,2/4/10,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,6.375,0,5.625,,Ceramics,Person,"Takaezu, Toshiko",,American,1/1/22,1/1/11,"Hawaii, United States","Honolulu, Hawaii, United States"
"The Queen's Levee Room, St. James's",1819,engraving and color aquatint (possibly handcolored),2009.73.31,Gift of BNY Mellon,2/4/10,Fine Arts,"Gallery 20, Bruce Galleries",15.75,12.625,0,0,"Bank of New York Mellon, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2010.",prints,Person|Person|Person,"Wild, Charles|Pyne, William Henry|Bennett, William James",after|publisher|printmaker,British,1781-01-01|1769-01-01|1787-01-01,1835-01-01||1844-01-01,"|London, England|","|London, England|"
Carved candle stand,1902,oak and copper,2014.71,Gift of Leeds Art Foundation in honor of Joseph Cunningham,12/11/14,Decorative Arts and Design,"Gallery 7, Scaife Galleries",10.375,26.5,10.375,0,,lighting devices,Person,"Rohlfs, Charles",,American,1853-01-01,1/1/36,,
Covered bowl,  1931,aluminum with painted copper decoration and colored paste,2010.7.1.A-.B,"Roy A. Hunt Foundation, by exchange and Second Century Acquisition Fund",2/4/10,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,8.5,0,9.5,,containers,Person,"Zimmermann, Marie",,American,1878-01-01,1/1/72,,
Covered bowl,  1931,aluminum with painted copper decoration and colored paste,2010.7.2.A-.B,"Roy A. Hunt Foundation, by exchange and Second Century Acquisition Fund",2/4/10,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,8.5,0,9.5,,containers,Person,"Zimmermann, Marie",,American,1878-01-01,1/1/72,,
Warrior's Arm,1966-1967,"Wax, paint, leather, metal, wood, and resin in a Plexiglas case",2010.3,"The Henry L. Hillman Fund, Mr. and Mrs. James H. Rich Fund, Carnegie Mellon Art Gallery Fund, and A. W. Mellon Acquisition Endowment Fund",2/4/10,Contemporary Art,"Gallery 13, Scaife Galleries",35.5,8.5,9.5,0,"The work was with Thek until the early 1980s when it was sold to Robert Helmick of Des Moines by Michael Klein.  Mr. Helmick made it a promised gift to the Hirshhorn (this was during Jim Demetrion's tenure) but when Helmick died in 2003, the Hirshhorn decided against buying out his estate's interest and the work became available for sale.  At that point it was purchased by Alexander and Bonin, the gallery which represents the Thek estate, and has been in the gallery's holdings ever since. 

According to Ted Bonin, the fingers have been twice repaired: the first repair was done by the conservation department of the Des Moines Art Center, where the piece was stored for a period in the 1980s or 90s; and the second was performed in 2007 by Christian Scheidemann (a well known German conservator who wrote a major essay on conservation issues related to Thek's Fishman in 1996) at the request of Alexander and Bonin.",sculpture,Person,"Thek, Paul",,American,1/1/33,1/1/88,"Brooklyn, New York","New York City (New York state, United States)"
Vase,  1883,earthenware with underglaze slip and gilded decoration,2010.17,Edgar L. Levenson Fund,4/1/10,Decorative Arts and Design,"Gallery 7, Scaife Galleries",12,20,12,0,,Ceramics,Person|Organization,"Valentien, Albert R.|Rookwood Pottery",decorator|,American,1862-01-01|1880-01-01,1925-01-01|1967-01-01,|,|
Grille (design prototype for the Mellon Institute of Industrial Research),  1932-1935,aluminum and iron,2010.35.1,Gift of Samuel Yellin Metalworkers,6/3/10,Decorative Arts and Design,"Gallery 21, Bruce Galleries",36,53.5,5,0,,architectural elements,Person,"Yellin, Samuel",,American,1884-01-01,1/1/40,Russia,
Plate,1982,glazed earthenware,2011.25.2,Gift of Deena and Jerome Kaplan,6/2/11,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,6,0,26,"Collection of Deena and Jerome Kaplan, Bethesda, MD
Purchased from Donna Schneier Fine Arts, New York, June 6, 2006.",Ceramics,Person,"Frey, Viola",,American,1/1/33,1/1/04,," Oakland (Alameda county, California, United States)"
Grandma with Baseball player,1990-1994,glazed earthenware,2011.25.1.A-.B,Gift of Deena and Jerome Kaplan,6/2/11,Decorative Arts and Design,Hall of Sculpture Balcony,11.5,41,13.25,0,"Collection of Deena and Jerome Kaplan, Bethesda, MD
Purchased from Donna Schneier Fine Arts, New York, March 20, 2001.",Ceramics,Person,"Frey, Viola",,American,1/1/33,1/1/04,," Oakland (Alameda county, California, United States)"
Man with Violin,1991,glazed earthenware,2011.28,Gift of Deena and Jerome Kaplan,6/2/11,Decorative Arts and Design,"Gallery 21, Bruce Galleries",14.5,19,12,0,"Collection of Deena and Jerome Kaplan, Bethesda, MD
Purchased from Donna Schneier Fine Arts, May 1999.",Ceramics,Person,"Lucero, Michael",,American,1/1/53,,,
Blue Lustre Vessel,1985,earthenware with luster glaze,2011.39,Gift of Deena and Jerome Kaplan,6/2/11,Decorative Arts and Design,"Gallery 21, Bruce Galleries",4.5,14,0,6,"Collection of Deena and Jerome Kaplan, Bethesda, MD
Purchased from Franklin Parrasch Gallery, Inc., New York, February 3, 2001.",Ceramics,Person,"Wood, Beatrice",,American,1893-01-01,1/1/98,"San Francisco (San Francisco county, California, United States)","Ojai (Ventura county, California, United States)"
Bundi,1971,pigmented beeswax and damar resin on masonite,2010.22,A. W. Mellon Acquisition Endowment Fund,6/3/10,Contemporary Art,"Gallery 13, Scaife Galleries",5,36,3,0,"acquired from the artist
Locks Gallery, Philadelphia",sculpture,Person,"Benglis, Lynda",,American,1/1/41,,"Lake Charles (Calcasieu parish, Louisiana, United States)",
Les Beaux,1989,mixed media on canvas,2010.48.3,Gift of Darthea Speyer,10/7/10,Contemporary Art,"Gallery 16, Scaife Galleries",133.75,107.75,2.375,0,"Collection of Darthea Speyer, before 2010; Gift of Darthea Speyer, 2010. 

TBF 10/31/14.",paintings,Person,"Foulkes, Llyn",,American,1/1/34,,"Yakima (Yakima county, Washington, United States)",
Grille component (design prototype for the Mellon Institute of Industrial Research),  1932-1935,aluminum and iron,2010.35.2,Gift of Samuel Yellin Metalworkers,6/3/10,Decorative Arts and Design,"Gallery 21, Bruce Galleries",14.875,20,7.5,0,,architectural elements,Person,"Yellin, Samuel",,American,1884-01-01,1/1/40,Russia,
Design drawing for metalwork for the Mellon Institute of Industrial Research,  1932-1935,pencil on tracing paper,2010.35.4.4,Gift of Samuel Yellin Metalworkers,6/3/10,Decorative Arts and Design,"Gallery 21, Bruce Galleries",18,24,0,0,,drawings and watercolors,Person,"Yellin, Samuel",,American,1884-01-01,1/1/40,Russia,
Alicia chair,1996,European birch plywood,2011.24,Gift of Deena and Jerome Kaplan,6/2/11,Decorative Arts and Design,"Gallery 18, Bruce Galleries",23,34,25,0,"Collection of Deena and Jerome Kaplan, Bethesda, MD",Wood,Person,"Fleishman, Gregg",,American,1/1/47,,,
Day Dreams,2001,glazed stoneware,2011.2,Gift of Deena and Jerome Kaplan,6/2/11,Decorative Arts and Design,Hall of Sculpture Balcony,17,16.5,1,0,"Collection of Deena and Jerome Kaplan, Bethesda, MD
Purchased from Duane Reed Gallery, St. Louis, MO, May 29, 2002",Ceramics,Person,"Autio, Rudy",,American,1/1/26,1/1/07,"Butte, Montana",USA
Sun Garden,2009,painted and stained ash,2011.27,Gift of Deena and Jerome Kaplan,6/2/11,Decorative Arts and Design,"Gallery 21, Bruce Galleries",0,9.5,0,5.5,"Collection of Deena and Jerome Kaplan, Bethesda, MD
Purchased from del Mano Gallery, Los Angeles, August 22, 2009.",Wood,Person,"Layport, Ron",,American,1/1/42,,"Elyria, OH",
"""Slice"" chair",1999,aluminum,2010.55,Helen Johnston Acquisition Fund and Richard L. Simmons Acquisition Fund,12/9/10,Decorative Arts and Design,"Gallery 18, Bruce Galleries",35,29.5,29.5,0,"Acquired directly from the artist at the request of the dealer, Industry Gallery.",furniture,Person,"Bengtsson, Mathias",,Danish,1/1/71,,Copenhagen,
The Sorceress,2004-2010,sewn carpet,2010.53.2,A. W. Mellon Acquisition Endowment Fund and the Henry L. Hillman Fund,12/9/10,Contemporary Art,"Gallery 16, Scaife Galleries",42,57,5,0,"Gedi Sibony; (Greene Naftali Gallery, New York, NY); Carnegie Museum of Art, Pittsburgh, PA",sculpture,Person,"Sibony, Gedi",,American,1/1/73,,"New York, NY",
"Terpsichore, Muse of Lyric Poetry",1812,plaster and brass,2010.56,Heinz Family Fund,12/9/10,Fine Arts,"Gallery 2, Scaife Galleries",31.5,72,17,0,"Private Collection, Rouen, until 2009. Private Collection, France, by 2010 [1]; purchased by Museum. 
NOTES:1. Represented by Charles Janoray.",sculpture,Person,"Canova, Antonio",,Italian,1757-01-01,1824-01-01,,
Schola,1926,oil on canvas,2011.46,Gift of Henry Oliver III and Charles Oliver II,6/2/11,Fine Arts,"Gallery 10, Scaife Galleries",77,35,1.75,0,"Acquired by William Frew, 1928; by descent to Emily Oliver, daughter of previous [1910-2010], Sewickley, PA, until 2010; Estate of Emily Oliver, 2010. Henry Oliver III, by 2011. Gift to Museum, 2011.

Under review by CGK",paintings,Person,"Simon, Lucien",,French,1861-01-01,1/1/45,"Paris (Ville de Paris department, Île-de-France, France)","Paris (Ville de Paris department, Île-de-France, France)"
"""Ballets Russes"" jardinière",1913,porcelain with enamel and gilded decoration,2010.54,Women's Committee Acquisition Fund and Decorative Arts Purchase Fund,12/9/10,Decorative Arts and Design,Hall of Sculpture Balcony,19.75,12,9.75,0,"Sold at auction (probably at Zoller Auktionen, Zurich Switzerland, May 2009, where the World’s Fair provenance was not recognized).
Anonymous dealer, France, 2009 (who did not recognize the World’s Fair provenance).
Adrian Sassoon, London 2010",Ceramics,Person|Person|Organization,"Maignan, M.|Mimard, Louis-Jules|Sèvres Porcelain Factory",designer|decorator|,French,||1756-01-01,1913-01-01|1928-01-01|,||,||
Lunettes for archways (pair),1800-1899,wrought iron,93.175.15.1-.2,Gift of Pittsburgh History & Landmarks Foundation,12/2/93,Heinz Architectural Center,The Heinz Architectural Center,0,0,0,41.625,"Pittsburgh History & Landmarks Foundation, Pittsburgh, PA",architectural elements,Person,unknown American,,American,,,,
Lunettes for archways (pair),1800-1899,wrought iron,93.175.16.1-.2,Gift of Pittsburgh History & Landmarks Foundation,12/2/93,Heinz Architectural Center,The Heinz Architectural Center,0,0,0,41.625,"Pittsburgh History & Landmarks Foundation, Pittsburgh, PA",architectural elements,Person,unknown American,,American,,,,
Greek-revival panel for basement window of Avery College,1800-1899,cast iron,93.175.19,Gift of Pittsburgh History & Landmarks Foundation,12/2/93,Heinz Architectural Center,The Heinz Architectural Center,55.625,28,0,0,"Pittsburgh History & Landmarks Foundation, Pittsburgh, PA",architectural elements,Person,unknown American,,American,,,,
Tumbler with sulphide portrait of George Washington,  1825,glass with sulphide,2011.54,Elizabeth A. Drain Fund and Martin Walsh Antiques Fund,10/6/11,Decorative Arts and Design,"Gallery 20, Bruce Galleries",0,3.25,0,2.938,,Glass,Organization,"Bakewell, Page and Bakewell",,American,1813-01-01,1827-01-01,,
The Crowning of Labor,1905-1908,oil on canvas,7.08,,,Fine Arts,Grand Staircase,0,0,0,0,"John White Alexander [1856-1915] by commission, 1905; purchased by Museum, 1907.",paintings,Person,"Alexander, John White",,American,1856-01-01,1/1/15,"Pittsburgh, Pennsylvania","New York, NY"
Fire screen,1925,wrought iron,2011.73,Gift of American Decorative Art 1900 Foundation,2/2/12,Decorative Arts and Design,"Gallery 21, Bruce Galleries",61.5,40,16,0,"Margaret Pollard Rea Joyner, Sewickley, PA, c.1980
David Ingold, dealer, Pittsburgh, PA, 1980
Possibly owned by George R. Hann, Treetops (built 1929), Sewickley, PA, c. 1930-1980
George Matheson, Pittsburgh, PA, commissioned 1925 as part of Yellin job #2457; Matheson died 1926 and was survived by his widow.",furniture,Person,"Yellin, Samuel",,American,1884-01-01,1/1/40,Russia,
